,Date,ofz,t10,spread
166,2018-05-22,4.9989200483513,3.063,1.9359200483512997
167,2018-05-21,5.0250171026081,3.0580000000000003,1.9670171026080996
168,2018-05-18,5.0099492896772,3.06,1.9499492896772002
169,2018-05-17,4.9961155912181,3.115,1.8811155912180997
170,2018-05-16,5.006252027622401,3.1039999999999996,1.9022520276224015
171,2018-05-15,4.971432246270901,3.072,1.8994322462709006
172,2018-05-14,4.9440371348312,3.002,1.9420371348312004
173,2018-05-11,4.998616378746299,2.97,2.028616378746299
174,2018-05-10,5.083553743677599,2.964,2.119553743677599
175,2018-05-08,5.1223499044262,2.972,2.1503499044262004
176,2018-05-07,4.9774065230272,2.952,2.0254065230272005
177,2018-05-04,5.1260898535727994,2.951,2.1750898535727994
178,2018-05-03,4.9712883681252995,2.948,2.0232883681252996
179,2018-05-02,4.8808576834315005,2.9760000000000004,1.9048576834315
180,2018-04-30,4.949812528726799,2.955,1.9948125287267988
181,2018-04-27,4.980522297760101,2.9589999999999996,2.021522297760101
182,2018-04-26,4.9903908539593,2.983,2.0073908539593
183,2018-04-25,5.003464311348001,3.031,1.9724643113480007
184,2018-04-24,4.918025238817901,2.9989999999999997,1.919025238817901
185,2018-04-23,5.124623909456201,2.977,2.147623909456201
186,2018-04-20,5.007812517604799,2.96,2.0478125176047994
187,2018-04-19,4.9887827676195995,2.9130000000000003,2.0757827676195992
188,2018-04-18,4.9555177272764,2.875,2.0805177272764004
189,2018-04-17,5.040841376370599,2.83,2.210841376370599
190,2018-04-16,5.0291972637649,2.8289999999999997,2.2001972637649
191,2018-04-13,4.9086024705123,2.825,2.0836024705123
192,2018-04-12,4.915403854198001,2.843,2.0724038541980008
193,2018-04-11,5.167074674600699,2.779,2.3880746746006993
194,2018-04-10,5.121235862526,2.801,2.3202358625260002
195,2018-04-09,4.749270023518401,2.781,1.9682700235184005
196,2018-04-06,4.5071005738525995,2.775,1.7321005738525996
197,2018-04-05,4.5005139575349995,2.8339999999999996,1.6665139575349999
198,2018-04-04,4.5175976469627,2.8080000000000003,1.7095976469626994
