,Date,3 mo
2345,1999-05-17,4.71
2346,1999-05-18,4.66
2347,1999-05-19,4.63
2348,1999-05-20,4.61
2349,1999-05-21,4.61
2350,1999-05-24,4.64
2351,1999-05-25,4.64
2352,1999-05-26,4.66
2353,1999-05-27,4.65
2354,1999-05-28,4.66
2355,1999-06-01,4.77
2356,1999-06-02,4.74
2357,1999-06-03,4.65
2358,1999-06-04,4.57
2359,1999-06-07,4.64
2360,1999-06-08,4.62
2361,1999-06-09,4.60
2362,1999-06-10,4.67
2363,1999-06-11,4.74
2364,1999-06-14,4.76
2365,1999-06-15,4.74
2366,1999-06-16,4.67
2367,1999-06-17,4.64
2368,1999-06-18,4.69
2369,1999-06-21,4.74
2370,1999-06-22,4.73
2371,1999-06-23,4.73
2372,1999-06-24,4.74
2373,1999-06-25,4.80
2374,1999-06-28,4.88
2375,1999-06-29,4.84
2376,1999-06-30,4.78
2377,1999-07-01,4.68
2378,1999-07-02,4.69
2379,1999-07-06,4.72
2380,1999-07-07,4.67
2381,1999-07-08,4.68
2382,1999-07-09,4.69
2383,1999-07-12,4.74
2384,1999-07-13,4.71
2385,1999-07-14,4.72
2386,1999-07-15,4.70
2387,1999-07-16,4.68
2388,1999-07-19,4.67
2389,1999-07-20,4.64
2390,1999-07-21,4.59
2391,1999-07-22,4.61
2392,1999-07-23,4.65
2393,1999-07-26,4.68
2394,1999-07-27,4.70
2395,1999-07-28,4.71
2396,1999-07-29,4.72
2397,1999-07-30,4.75
2398,1999-08-02,4.85
2399,1999-08-03,4.84
2400,1999-08-04,4.78
2401,1999-08-05,4.74
2402,1999-08-06,4.80
2403,1999-08-09,4.96
2404,1999-08-10,4.95
2405,1999-08-11,4.91
2406,1999-08-12,4.79
2407,1999-08-13,4.74
2408,1999-08-16,4.84
2409,1999-08-17,4.83
2410,1999-08-18,4.76
2411,1999-08-19,4.76
2412,1999-08-20,4.84
2413,1999-08-23,5.01
2414,1999-08-24,4.99
2415,1999-08-25,4.93
2416,1999-08-26,4.93
2417,1999-08-27,4.98
2418,1999-08-30,5.01
2419,1999-08-31,4.98
2420,1999-09-01,4.97
2421,1999-09-02,4.92
2422,1999-09-03,4.92
2423,1999-09-07,4.85
2424,1999-09-08,4.83
2425,1999-09-09,4.81
2426,1999-09-10,4.76
2427,1999-09-13,4.80
2428,1999-09-14,4.83
2429,1999-09-15,4.75
2430,1999-09-16,4.70
2431,1999-09-17,4.67
2432,1999-09-20,4.81
2433,1999-09-21,4.79
2434,1999-09-22,4.83
2435,1999-09-23,4.82
2436,1999-09-24,4.78
2437,1999-09-27,4.87
2438,1999-09-28,4.85
2439,1999-09-29,4.83
2440,1999-09-30,4.88
2441,1999-10-01,4.88
2442,1999-10-04,4.87
2443,1999-10-05,4.86
2444,1999-10-06,4.81
2445,1999-10-07,4.84
2446,1999-10-08,4.82
2447,1999-10-12,4.93
2448,1999-10-13,4.98
2449,1999-10-14,5.02
2450,1999-10-15,5.04
2451,1999-10-18,5.15
2452,1999-10-19,5.15
2453,1999-10-20,5.15
2454,1999-10-21,5.14
2455,1999-10-22,5.07
2456,1999-10-25,5.14
2457,1999-10-26,5.15
2458,1999-10-27,5.14
2459,1999-10-28,5.11
2460,1999-10-29,5.12
2461,1999-11-01,5.16
2462,1999-11-02,5.14
2463,1999-11-03,5.12
2464,1999-11-04,5.10
2465,1999-11-05,5.14
2466,1999-11-08,5.20
2467,1999-11-09,5.19
2468,1999-11-10,5.20
2469,1999-11-12,5.23
2470,1999-11-15,5.29
2471,1999-11-16,5.29
2472,1999-11-17,5.24
2473,1999-11-18,5.23
2474,1999-11-19,5.23
2475,1999-11-22,5.27
2476,1999-11-23,5.27
2477,1999-11-24,5.29
2478,1999-11-26,5.30
2479,1999-11-29,5.36
2480,1999-11-30,5.30
2481,1999-12-01,5.27
2482,1999-12-02,5.25
2483,1999-12-03,5.25
2484,1999-12-06,5.22
2485,1999-12-07,5.22
2486,1999-12-08,5.22
2487,1999-12-09,5.25
2488,1999-12-10,5.30
2489,1999-12-13,5.39
2490,1999-12-14,5.39
2491,1999-12-15,5.35
2492,1999-12-16,5.39
2493,1999-12-17,5.44
2494,1999-12-20,5.63
2495,1999-12-21,5.59
2496,1999-12-22,5.56
2497,1999-12-23,5.47
2498,1999-12-27,5.47
2499,1999-12-28,5.41
2500,1999-12-29,5.23
2501,1999-12-30,5.22
2502,1999-12-31,5.33
2503,2000-01-03,5.48
2504,2000-01-04,5.43
2505,2000-01-05,5.44
2506,2000-01-06,5.41
2507,2000-01-07,5.38
2508,2000-01-10,5.42
2509,2000-01-11,5.43
2510,2000-01-12,5.45
2511,2000-01-13,5.41
2512,2000-01-14,5.41
2513,2000-01-18,5.56
2514,2000-01-19,5.51
2515,2000-01-20,5.48
2516,2000-01-21,5.47
2517,2000-01-24,5.55
2518,2000-01-25,5.57
2519,2000-01-26,5.58
2520,2000-01-27,5.59
2521,2000-01-28,5.65
2522,2000-01-31,5.76
2523,2000-02-01,5.71
2524,2000-02-02,5.66
2525,2000-02-03,5.63
2526,2000-02-04,5.67
2527,2000-02-07,5.72
2528,2000-02-08,5.69
2529,2000-02-09,5.66
2530,2000-02-10,5.67
2531,2000-02-11,5.66
2532,2000-02-14,5.68
2533,2000-02-15,5.75
2534,2000-02-16,5.73
2535,2000-02-17,5.74
2536,2000-02-18,5.75
2537,2000-02-22,5.82
2538,2000-02-23,5.82
2539,2000-02-24,5.81
2540,2000-02-25,5.79
2541,2000-02-28,5.80
2542,2000-02-29,5.78
2543,2000-03-01,5.76
2544,2000-03-02,5.76
2545,2000-03-03,5.79
2546,2000-03-06,5.85
2547,2000-03-07,5.83
2548,2000-03-08,5.83
2549,2000-03-09,5.82
2550,2000-03-10,5.87
2551,2000-03-13,5.89
2552,2000-03-14,5.87
2553,2000-03-15,5.85
2554,2000-03-16,5.87
2555,2000-03-17,5.89
2556,2000-03-20,5.95
2557,2000-03-21,5.91
2558,2000-03-22,5.91
2559,2000-03-23,5.90
2560,2000-03-24,5.91
2561,2000-03-27,5.88
2562,2000-03-28,5.88
2563,2000-03-29,5.89
2564,2000-03-30,5.88
2565,2000-03-31,5.88
2566,2000-04-03,5.87
2567,2000-04-04,5.83
2568,2000-04-05,5.86
2569,2000-04-06,5.88
2570,2000-04-07,5.90
2571,2000-04-10,5.85
2572,2000-04-11,5.83
2573,2000-04-12,5.83
2574,2000-04-13,5.81
2575,2000-04-14,5.81
2576,2000-04-17,5.82
2577,2000-04-18,5.81
2578,2000-04-19,5.81
2579,2000-04-20,5.79
2580,2000-04-24,5.80
2581,2000-04-25,5.79
2582,2000-04-26,5.75
2583,2000-04-27,5.75
2584,2000-04-28,5.82
2585,2000-05-01,6.00
2586,2000-05-02,5.92
2587,2000-05-03,5.91
2588,2000-05-04,5.90
2589,2000-05-05,5.97
2590,2000-05-08,6.19
2591,2000-05-09,6.14
2592,2000-05-10,6.14
2593,2000-05-11,6.14
2594,2000-05-12,6.14
2595,2000-05-15,6.25
2596,2000-05-16,6.20
2597,2000-05-17,6.05
2598,2000-05-18,5.92
2599,2000-05-19,5.89
